House Index,Address,Price,County,Room,Approx price per room
"15. Apt 1 Scrahan Place, Ross road, Killarney, Co. Kerry - Apar","Apt 1 Scrahan Place, Ross road, Killarney, Co. Kerry",900, Co. Kerry,2,450.00
"16. Main St., Castleisland, Co. Kerry - Apar","Main St., Castleisland, Co. Kerry",500, Co. Kerry,2,250.00
"17. Apartment 4 Town Centre, Killorglin, Co. Kerry - Apar","Apartment 4 Town Centre, Killorglin, Co. Kerry",600, Co. Kerry,1,600.00
"18. Kilbrean, Killarney, Co. Kerry - Apar","Kilbrean, Killarney, Co. Kerry",800, Co. Kerry,2,400.00
"19. New Market Lane, Killarney, Co. Kerry - Apar","New Market Lane, Killarney, Co. Kerry",700, Co. Kerry,2,350.00
"20. Lissivigeen area, Killarney, Co. Kerry - Apar","Lissivigeen area, Killarney, Co. Kerry",700, Co. Kerry,1,700.00
"1. Stradbrook Luxury Appartment, Portlaoise, Co. Laois - Apa","Stradbrook Luxury Appartment, Portlaoise, Co. Laois",875, Co. Laois,2,437.50
"2. De Vesci Court, Portlaoise, Co. Laois - Apa","De Vesci Court, Portlaoise, Co. Laois",800, Co. Laois,1,800.00
"3. De Vesci Court, Fairgreen, Portlaoise, Co. Laois - Apa","De Vesci Court, Fairgreen, Portlaoise, Co. Laois",900, Co. Laois,2,450.00
"4. Church Street, Portlaoise, Co. Laois - Apa","Church Street, Portlaoise, Co. Laois",850, Co. Laois,2,425.00
"5. The Mews, Mountrath Road, Portlaoise, Co. Laois - Apa","The Mews, Mountrath Road, Portlaoise, Co. Laois",750, Co. Laois,1,750.00
"6. Heather Lane, Esker Hills, Portlaoise, Co. Laois - Apa","Heather Lane, Esker Hills, Portlaoise, Co. Laois",900, Co. Laois,2,450.00
"7. Lalor Way Fairgreen Portlaoise, Portlaoise, Co. Laois - Apa","Lalor Way Fairgreen Portlaoise, Portlaoise, Co. Laois",900, Co. Laois,2,450.00
"8. College View, Mountmellick, Co. Laois - Apa","College View, Mountmellick, Co. Laois",850, Co. Laois,2,425.00
"9. The Maples, Forest Park, Portlaoise, Co. Laois - Apa","The Maples, Forest Park, Portlaoise, Co. Laois",850, Co. Laois,2,425.00
"10. Lalor Way, Fairgreen, Portlaoise, Co. Laois - Apar","Lalor Way, Fairgreen, Portlaoise, Co. Laois",900, Co. Laois,2,450.00
"11. 95, Riverside, Portarlington, Co. Laois - Apar","95, Riverside, Portarlington, Co. Laois",800, Co. Laois,2,400.00
"12. Kilnacourt Woods, Portarlington, Co. Laois - Apar","Kilnacourt Woods, Portarlington, Co. Laois",650, Co. Laois,1,650.00
"1. Leitrim Village, Leitrim, Co. Leitrim - Apa","Leitrim Village, Leitrim, Co. Leitrim",700, Co. Leitrim,3,233.33
"2. Bridge Street, Carrick-on-Shannon, Co. Leitrim - Apa","Bridge Street, Carrick-on-Shannon, Co. Leitrim",480, Co. Leitrim,1,480.00
"3. The Pavillion, Carrick-on-Shannon, Co. Leitrim - Apa","The Pavillion, Carrick-on-Shannon, Co. Leitrim",650, Co. Leitrim,3,216.67
"4. Riverview, Carrick-on-Shannon, Co. Leitrim - Apa","Riverview, Carrick-on-Shannon, Co. Leitrim",600, Co. Leitrim,2,300.00
"5. Bridge Street, Carrick-on-Shannon, Co. Leitrim - Apa","Bridge Street, Carrick-on-Shannon, Co. Leitrim",450, Co. Leitrim,1,450.00
