House,Price,County,Room,Approx price per room
" Inver Geal, Carrick-on-Shannon, Co. Roscommon",650, Co. Roscommon,3,216.67
" riverwalk, Castlerea, Co. Roscommon",550, Co. Roscommon,2,275.00
" High Street, Sligo, Co. Sligo",650, Co. Sligo,1,650.00
" Quayside North Court, Wine Street, Sligo, Co. Sligo",800, Co. Sligo,2,400.00
" Milbrook Apartments, Riverside, Sligo, Co. Sligo",850, Co. Sligo,3,283.33
" Humbert St, Tubbercurry, Co. Sligo",540, Co. Sligo,1,540.00
" 12 Charles St, Sligo, Co. Sligo",750, Co. Sligo,2,375.00
" Sea Front, Rosses Point, Co. Sligo",750, Co. Sligo,3,250.00
" Block B, City Gate, Mail Coach Rd, Sligo, Sligo, Co. Sligo",800, Co. Sligo,2,400.00
" Pearse Road, Sligo, Co. Sligo",750, Co. Sligo,2,375.00
" Abbeykiln House, Abbey Street, Sligo, Co. Sligo",650, Co. Sligo,1,650.00
" 7/8 Market street, Sligo, Co. Sligo",800, Co. Sligo,2,400.00
" 16 lower abbey street sligo, Sligo, Co. Sligo",730, Co. Sligo,2,365.00
" Collooney, Collooney, Co. Sligo",450, Co. Sligo,1,450.00
" Coach Yard, Kevinsfort, Strandhill Road, Sligo, Co. Sligo",900, Co. Sligo,2,450.00
" Fairways, Tubbercurry, Co. Sligo",550, Co. Sligo,2,275.00
" Millbrook Apts, JFK Parade, Riverside, Sligo, Co. Sligo",800, Co. Sligo,2,400.00
" R292, Ransboro, Co. Sligo",560, Co. Sligo,1,560.00
" Edenmount Hall,Brooklawns, First Sea Road, Sligo, Co. Sligo",715, Co. Sligo,2,357.50
" Church Street, Sligo, Co. Sligo",600, Co. Sligo,2,300.00
" Ballincourt, Ballintogher, Co. Sligo",450, Co. Sligo,1,450.00
" Silver Falls, Knockmuldowney Ballisodare, Ballisodare, Co. Sligo",895, Co. Sligo,2,447.50
" An Cuirt, Monard, Co. Tipperary",630, Co. Tipperary,1,630.00
" Abbey Street clonmel, Clonmel, Co. Tipperary",550, Co. Tipperary,1,550.00
" Apartment, Woodlawn, Cashel, Co. Tipperary",500, Co. Tipperary,1,500.00
" Marlfield House, Clonmel, Co. Tipperary",300, Co. Tipperary,3,100.00
" Apartment 2, Main Street, Carrick-on-Suir, Co. Tipperary",650, Co. Tipperary,2,325.00
" 34 Ballina Quay, Ballina, Co. Tipperary",900, Co. Tipperary,2,450.00
" Bank Street, Templemore, Co. Tipperary",450, Co. Tipperary,1,450.00
" Pearse st, Nenagh, Co. Tipperary",480, Co. Tipperary,1,480.00
" 11 Bank place, Cashel, Co. Tipperary",700, Co. Tipperary,1,700.00
" Westcourt, The Quays, Clonmel, Co. Tipperary",800, Co. Tipperary,2,400.00
