House,Price,County
"60. The Wintergarden, Pearse Street, Dublin 2",1750, Dublin 2
"61. Newtownsmith, Sandycove, Co. Dublin",2600, Co. Dublin
"62. The Weir, 59 Orwell Park, Rathgar, Dublin 6",2950, Dublin 6
"63. Kinsella Hall, Collegewood, Castleknock, Dublin 15",1800, Dublin 15
"64. Warrington Place, Dublin 2",3950, Dublin 2
"65. The Newman, The Court, Killiney, Killiney, Co. Dublin",3000, Co. Dublin
"66. Roebuck Hill, Clonskeagh, Dublin 14",2000, Dublin 14
"67. Thomastown House, Spencer Dock, Dublin 1",2200, Dublin 1
"68. Millrace Court, Phoenix Park Racecourse, Castleknock, Dublin 15",1768, Dublin 15
"69. Westfield, Sion Hill, Blackrock, Co. Dublin",1895, Co. Dublin
"70. Premier Square, Finglas Road, Finglas, Dublin 11",1475, Dublin 11
"71. Baggoth Rath, Newbridge Avenue, Ballsbridge, Dublin 4",4200, Dublin 4
"72. The Penthouses at Custom House Square, Docklands, Dublin 1",3900, Dublin 1
"73. Windmilll Lane, Dublin 2",2400, Dublin 2
"74. Hollybrook, Foxrock, Dublin 18",3500, Dublin 18
"75. 1 The Friary Cecilia's Street, Temple Bar, Dublin 2",4000, Dublin 2
"76. Packenham, off Sloperton, Monkstown, Co. Dublin",1575, Co. Dublin
"77. 53 Millrace Road, Castleknock, Dublin 15",3000, Dublin 15
"78. 82 Lower Beechwood Avenue, Ranelagh, Dublin 6",2000, Dublin 6
"79. Beechwood Avenue Lower, Ranelagh, Dublin 6",2500, Dublin 6
"80. 24 Milltown Hall, Mt St Annes, Milltown, Dublin 6",2500, Dublin 6
"81. Quartiere Bloom, Lower Ormond Quay, Dublin 1",2400, Dublin 1
"82. 114 Exchange Hall, Tallaght, Dublin 24",1275, Dublin 24
"83. Leona Apartments, Dun Laoghaire, Co. Dublin",2432, Co. Dublin
"84. Apt 22 Belarmine Square, Stepaside, Dublin 18",1800, Dublin 18
"85. Herbert Park Lane, Ballsbridge, Dublin 4",2500, Dublin 4
"86. 218 south circular road, South Circular Road, Dublin 8",1500, Dublin 8
"87. The Edges 1, Beacon South Quarter, Sandyford, Dublin 18",2200, Dublin 18
"88. Aras na Cluaine, Clondalkin, Dublin 22",1900, Dublin 22
"89. The Cubes 3, Beacon South Quarter, Sandyford, Dublin 18",2300, Dublin 18
"90. Waterville Terrace, Blanchardstown, Dublin 15",1650, Dublin 15
"91. Grosvenor Square, Rathmines, Dublin 6",1650, Dublin 6
"92. Apartment 13 ,Pavillion II, Marine Road, Dun Laoghaire, Co. Dublin",2695, Co. Dublin
"93. Apartment, Donnybrook Castle, Donnybrook, Dublin 4",2800, Dublin 4
"94. 124 Capel st, Dublin 1",2500, Dublin 1
"95. West Court Yard, Cabinteely, Dublin 18",2500, Dublin 18
"96. Greenlea Place, Terenure, Dublin 6w",1900, Dublin 6w
"97. Patrick Street Street, Christchurch, Dublin 8",2600, Dublin 8
"98. Ailesbury Road, Merrion, Dublin 4",10000, Dublin 4
"99. Waterloo Road, Ballsbridge, Dublin 4",1775, Dublin 4
"100. Coolamber Park, Knocklyon, Dublin 16",1080, Dublin 16
"101. 170 Beechwood Court, Stillorgan, Co. Dublin",3500, Co. Dublin
"102. Lansdowne lodge, Ballsbridge, Dublin 4",2500, Dublin 4
"103. Killiney Hill Park Apartments, Killiney, Co. Dublin",1500, Co. Dublin
"104. 23 Bellevue, Block B, Islandbridge, Dublin 8",1950, Dublin 8
"105. Alexandra College, Milltown, Dublin 6",750, Dublin 6
"106. 82 Trimbleston, Goatstown Rd, Dublin 14, Goatstown, Dublin 14",2200, Dublin 14
"107. 28 Leinster Square, Rathmines, Dublin 6",1800, Dublin 6
"108. Greeg Court Parnell Street, Dublin 1",3000, Dublin 1
"109. Hanover Quay, Dublin 2",3400, Dublin 2
"110. Richmond Hall, Mount St Annes, Milltown, Dublin 6",2500, Dublin 6
"111. Grand Canal Square, Dublin 2",3200, Dublin 2
