House,Price,County,Room
"142. Johnny Desmond's Cottage, Cooldaniel, Toames, Macroom, Co. Cork",950, Co. Cork,3 
"143. 17 Glengarriff Road, Bantry, Co. Cork",900, Co. Cork,4 
"144. Cliona Lodge, Toe Head, Castletownshend, Co. Cork",1250, Co. Cork,4 
"145. Drishanemore (available Sept - May), Skibbereen, Co. Cork",900, Co. Cork,4 
"146. 1 Clerk Lane, Skibbereen, Co. Cork",500, Co. Cork,
"147. 6 Chapel Lane, Skibbereen, Co. Cork",650, Co. Cork,3
"148. Cooscroneen, Union Hall, Co. Cork",950, Co. Cork,3 
"149. Gurteenakilla, Ballydehob, Co. Cork",850, Co. Cork,3 
"150. kilbrack, Doneraile, Co. Cork",750, Co. Cork,3
"151. Ahakista, Durrus, Co. Cork",900, Co. Cork,3 
"152. \'Ardmore\', Lower Aghada, Midleton, Co. Cork",1000, Co. Cork,3
"153. Inchigeela, Macroom, Co. Cork",900, Co. Cork,3
"154. Carriganarra estate, Ballincollig, Co. Cork",1450, Co. Cork,3
"155. Rockstreet, Cloyne, Co. Cork",480, Co. Cork,8 
"156. Cois An Uisce, Forthill, Summercove, Kinsale, Co. Cork",3000, Co. Cork,4 
"157. Na FuinSeoga, Springlane, Ballyvolane Rd, Ballyvolane, Co. Cork",480, Co. Cork,5 
"158. 3 Friars Court, Kinsale, Co. Cork",1300, Co. Cork,3 
"159. Mallow town, Mallow, Co. Cork",1050, Co. Cork,3 
"160. West of Ballinspittle, Ballinspittle, Co. Cork",2000, Co. Cork,4 
"161. Dunbar Street, Cork City, Co. Cork",1500, Co. Cork,2 
"162. Robert street, Mitchelstown, Co. Cork",800, Co. Cork,2
"163. 4, Caislean an Easaig, Castletownroche, Co. Cork",950, Co. Cork,3 
"164. main street rossmore, Clonakilty, Co. Cork",800, Co. Cork,5 
"165. 5 The Cresent Codrum, Macroom, Co. Cork",1100, Co. Cork,4 
"166. Cappagh, Kinsale, Co. Cork",1200, Co. Cork,
"167. Lynnville, Off Church Lane, Kinsale, Co. Cork",1000, Co. Cork,
"168. 8 Ringcurren Grove, Ardbrack, Kinsale, Co. Cork",1500, Co. Cork,3 
"169. Castlejane Woods Glanmire, Glanmire, Co. Cork",1375, Co. Cork,3
"170. Knockroe Lower, Kilnamartyra, Macroom, Co. Cork",700, Co. Cork,2
"171. 8 Castle Street, Macroom, Co. Cork",1100, Co. Cork,5
"172. Lackaroe, Buttevant, Co. Cork",850, Co. Cork,2
"173. Knockaverry, Youghal, Co. Cork",1500, Co. Cork,3 
"174. 101 HighStreet, Ballinlough, Co. Cork",1500, Co. Cork,2
"175. Cahermellaboe, Allihies, Beara, Co. Cork",500, Co. Cork,3 
"176. Rossacon, Newmarket, Co. Cork",1700, Co. Cork,4 
"177. connorville tower street, Cork City, Co. Cork",1500, Co. Cork,2
"178. 24 Greenfields, Belfry Heights, Bandon, Co. Cork",1250, Co. Cork,3 
"179. 25 Marwood Avenue, Glanmire, Co. Cork",1408, Co. Cork,3 
"180. Cooleregan, Mitchelstown, Co. Cork",500, Co. Cork,
"181. Kilmeen, Rossmore, Clonakilty, Co. Cork, Clonakilty, Co. Cork",900, Co. Cork,3
"182. 5 The Island, Inchydoney, Clonakilty, Co. Cork",1395, Co. Cork,4 
"183. Kilnahera, Drimoleague, Co. Cork",750, Co. Cork,2
"184. 18 The Willows, Castlemagner, Co. Cork",950, Co. Cork,3 
"185. No. 40 The Courts, Compass Quay, Kinsale, Co Cork, Kinsale, Co. Cork",1500, Co. Cork,3 
"186. 18 Radharc Na Sleibhte, Churchtown, Co. Cork",850, Co. Cork,4 
"187. newcestown, Bandon, Newcestown, Co. Cork",1500, Co. Cork,3 
"188. Derrylahan, Dunmanway, Co. Cork",700, Co. Cork,3 
"189. 21 Meadowside, Dromina, Charleville, Co. Cork",800, Co. Cork,4 
"190. 21 Meadowside, Dromina, Co. Cork",800, Co. Cork,4 
"1. 27 Meadowhill, Kiltoy, Letterkenny., Letterkenny, Co. Donegal",850, Co. Donegal,5 
"2. Armada cottages, Bundoran, Co. Donegal",565, Co. Donegal,3 
"3. St Raphaels, Ards, Creeslough, Co. Donegal",500, Co. Donegal,3
"4. Altnapaste Mill, Ballybofey, Co. Donegal",1250, Co. Donegal,4 
"5. 14 St Johns Park, Gransha Road, Buncrana, Co. Donegal",750, Co. Donegal,4 
"6. 29 Dun na Ri, Buncrana, Co. Donegal",600, Co. Donegal,3 
"7. 30 Clearwaters, Rathmullan, Co. Donegal",600, Co. Donegal,3 
"8. 21 Churchlands, Manorcunningham, Co. Donegal",650, Co. Donegal,4 
"9. 25 Brookfield Heights, Letterkenny, Co. Donegal",800, Co. Donegal,3 
"10. Fort Royal House, Rathmullan, Co. Donegal",1400, Co. Donegal,4 
"11. 16 Stonebridge, Bridgend, Co. Donegal",750, Co. Donegal,4 
"12. 42 Millbrea, Meadows, Ballyloskey, Carndonagh, Co. Donegal",650, Co. Donegal,3 
"13. 65 The Green, Ballymacool, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"14. 39 Glenoughty Close, Glencar, Letterkenny, Co. Donegal",750, Co. Donegal,3
"15. Porthall, Lifford, Co. Donegal",550, Co. Donegal,2
"16. 23 Ceanann View, Letterkenny, Co. Donegal",750, Co. Donegal,3 
