House Index,Address,Price,County,Room,Approx price per room
73,"82 Springmount, Kinsale, Co. Cork",1500, Co. Cork,3 ,500.00
74,"Arlinstown, Ballinhassig, Co. Cork",1800, Co. Cork,5 ,360.00
75,"Cooleregan, Mitchelstown, Co. Cork",500, Co. Cork,1,500.00
76,"Barrack Rd, Mitchelstown, Co. Cork",1250, Co. Cork,5 ,250.00
77,"103 Old Court, Greenfields, Ballincollig, Co. Cork",1850, Co. Cork,4 ,462.50
78,"Knockaverry, Youghal, Co. Cork",1400, Co. Cork,3 ,466.67
79,"Johnny Desmond's Cottage, Cooldaniel, Toames, Macroom, Co. Cork",950, Co. Cork,3 ,316.67
80,"12 The Courtyard, Jacobs Island, Blackrock, Co. Cork",1450, Co. Cork,2 ,725.00
81,"Cregg Court, Connolly Street, Fermoy, Co. Cork",925, Co. Cork,2 ,462.50
82,"5 The Arches, Bandon, Co. Cork",900, Co. Cork,2 ,450.00
83,"The Grove, Coolroe Meadows, Ballincollig, Co. Cork",1074, Co. Cork,4 ,268.50
84,"Inchafune, Dunmanway, Co. Cork",1300, Co. Cork,6 ,216.67
85,"Georges Street, Churchtown, Co. Cork",550, Co. Cork,2,275.00
86,"Ardnageehy Ballyhea, Charleville, Co. Cork",600, Co. Cork,2,300.00
87,"Castle Court, Church Road, Carrigaline, Co. Cork",990, Co. Cork,1,990.00
88,"Knockaneroe 1, Kanturk, Co. Cork",800, Co. Cork,3,266.67
89,"Knockatoor, Carrigaline, Co. Cork",1100, Co. Cork,4 ,275.00
90,"Kanturk, Mallow, Co. Cork",1200, Co. Cork,4 ,300.00
91,"Meadowhead, Currabinny, Carrigaline, Co. Cork",2000, Co. Cork,4 ,500.00
92,"Valley View, Kerry Pike, Co. Cork",1800, Co. Cork,3 ,600.00
93,"27 Longshore Drive, Jacob Island, Blackrock, Co. Cork",1633, Co. Cork,4 ,408.25
94,"Rochestown Road, Douglas, Co. Cork",2500, Co. Cork,6 ,416.67
95,"Gortroe, Glengarriff, Co. Cork",1000, Co. Cork,5 ,200.00
96,"Ballingeary, Macroom, Co. Cork",1200, Co. Cork,3 ,400.00
97,"Newtownshandrum, Charleville, Co. Cork",850, Co. Cork,4 ,212.50
98,"Ballymurphy Upper, Conna, Fermoy, Conna, Co. Cork",1300, Co. Cork,4 ,325.00
99,"4 Chapel Hill, Ballydesmond, Co. Cork",900, Co. Cork,4 ,225.00
100,"No 7 Sprucegrove, Courtmacsherry, Co. Cork",1200, Co. Cork,4 ,300.00
101,"1 Rosewood Lawn, Bandon, Co. Cork",1200, Co. Cork,4 ,300.00
102,"St Mary's terrace, Midleton, Co. Cork",1100, Co. Cork,3 ,366.67
103,"Mount Nephin, Bishopstown Avenue, Model Farm Road, Co. Cork",2030, Co. Cork,4 ,507.50
104,"Slieveragh, Ballyvourney, Ballyvourney, Co. Cork",950, Co. Cork,4 ,237.50
105,"Glandore Avenue, Blackrock, Co. Cork",1500, Co. Cork,2,750.00
106,"The Grove, Coolroe Meadows, Ballincollig, Co. Cork",2200, Co. Cork,4 ,550.00
107,"Rochelle, Old Blackrock Road, Cork City, Co. Cork",1532, Co. Cork,3 ,510.67
108,"Ardfield Lawn, Ardfield, Frankfield, Co. Cork",1426, Co. Cork,3 ,475.33
109,"25 Marwood Avenue, Glanmire, Co. Cork",1408, Co. Cork,3 ,469.33
110,"Elphin, Glasheen Road, Glasheen, Co. Cork",1450, Co. Cork,3,483.33
111,"2 James Connolly Place, Donnybrook, Co. Cork",1150, Co. Cork,1,1150.00
112,"Cloon Cottage, Carrigdownane, Fermoy, Co. Cork",1095, Co. Cork,4 ,273.75
113,"Watercourse Rd., Blackpool, Co. Cork",1700, Co. Cork,2 ,850.00
114,"Toames West, Macroom, Toames, Co. Cork",600, Co. Cork,1,600.00
115,"Carhoogarriffe, Reenascreena, Rosscarbery, Co. Cork",900, Co. Cork,3 ,300.00
116,"The Orchard,Clogheen, Clonakilty, Co. Cork",1200, Co. Cork,4 ,300.00
117,"Seanacloc, Tower, Co. Cork",1500, Co. Cork,3 ,500.00
118,"Ahakista, Durrus, Co. Cork",900, Co. Cork,3 ,300.00
119,"'Ardmore', Lower Aghada, Midleton, Co. Cork",1000, Co. Cork,3,333.33
120,"35 Courtyard Lodges, Fota, Co. Cork",1500, Co. Cork,2 ,750.00
121,"Coolieragh, Glengarriff, Co. Cork",695, Co. Cork,2,347.50
122,"Teernaspideoga, Inchigeelagh, Co. Cork",400, Co. Cork,2,200.00
123,"1 Bridgetown Drive, Castlemartyr, Castlemartyr, Co. Cork",1200, Co. Cork,3 ,400.00
124,"Coomhola Bridge, Bantry, Co. Cork",1100, Co. Cork,5 ,220.00
125,"Coolatooder, Ballinhassig, Co. Cork",1200, Co. Cork,2,600.00
126,"21 Manor Court, Mallow, Co. Cork",950, Co. Cork,3,316.67
127,"12 Main Street Carrigtwohill, Carrigtwohill, Co. Cork",1200, Co. Cork,3 ,400.00
128,"30 Bat Donegan Place, Charleville, Co. Cork",800, Co. Cork,2,400.00
129,"The Terrace, Freemount, Co. Cork",650, Co. Cork,3,216.67
130,"Cromogue, Milford, Co. Cork",650, Co. Cork,3 ,216.67
131,"20 Allow Hill, Freemount, Charleville, Co. Cork",700, Co. Cork,3 ,233.33
132,"Glengarriff, Newtownshandrum, Charleville, Co. Cork",750, Co. Cork,4 ,187.50
133,"Mallow town, Mallow, Co. Cork",1050, Co. Cork,3 ,350.00
134,"Keelovenogue Drinagh, Drinagh, Co. Cork",900, Co. Cork,4,225.00
135,"Woodquay, Bailick, Midleton, Co. Cork",1300, Co. Cork,3,433.33
136,"Carrightwolill, Carrigtwohill, Co. Cork",1075, Co. Cork,2,537.50
137,"Na FuinSeoga, Springlane, Ballyvolane Rd, Ballyvolane, Co. Cork",480, Co. Cork,5 ,96.00
138,"Blarney Village, Blarney, Co. Cork",2400, Co. Cork,4 ,600.00
139,"Carrigboy, Durrus, Co. Cork",600, Co. Cork,3 ,200.00
140,"Midleton, Lisgoold, Co. Cork",300, Co. Cork,4,75.00
141,"Rochelle Park, Victoria Avenue, Cork City, Co. Cork",1396, Co. Cork,3,465.33
142,"Ivanhoe, Youghal, Co. Cork",1200, Co. Cork,4 ,300.00
143,"Rockstreet, Cloyne, Co. Cork",480, Co. Cork,8 ,60.00
144,"4 Admirals Walk, Kinsale, Co. Cork",1500, Co. Cork,3 ,500.00
145,"THE SCHOOLMASTER'S RESIDENCE LISPATRICK LOWER OLD, Garrettstown, Co. Cork",900, Co. Cork,3 ,300.00
146,"main street rossmore, Clonakilty, Co. Cork",800, Co. Cork,5 ,160.00
147,"No. 9 Millbrook Lawn, Bantry, Co. Cork",900, Co. Cork,3 ,300.00
148,"Heatherfield, Waterfall, Co. Cork",2400, Co. Cork,5 ,480.00
149,"Balady House, Belgooly, Kinsale, Co. Cork",2750, Co. Cork,5 ,550.00
