House,Price,County,Room
"89. The Sycamores, Model Farm Road, Co. Cork",2150, Co. Cork,5 
"90. Kanturk, Mallow, Co. Cork",1200, Co. Cork,4 
"91. Walshestown, Churchtown, Mallow, Churchtown, Co. Cork",1000, Co. Cork,3 
"92. Goggins Hill, Ballinhassig, Co. Cork",950, Co. Cork,2 
"93. 47 Forest Ridge, Doughcloyne, Co. Cork",1700, Co. Cork,3 
"94. Kilbarry, Fermoy, Co. Cork",900, Co. Cork,3 
"95. 14 Post Office Avenue, Blackrock, Co. Cork",1350, Co. Cork,2
"96. 14 Manor Rise, Thornbury Heights, Rochestown, Co. Cork",1500, Co. Cork,3
"97. 6 Glandore Mews, Glandore, Co. Cork",850, Co. Cork,3 
"98. Coolbawn, Caheragh, Drimoleague, Co. Cork",850, Co. Cork,3 
"99. Kilpatrick, Bandon, Co. Cork",1300, Co. Cork,4 
"100. 5 Rosewood Avenue, Ballylangley, Bandon, Co. Cork",1400, Co. Cork,4 
"101. 4 Admirals Walk, Kinsale, Co. Cork",1500, Co. Cork,3 
"102. 25 Whitepoint Moorings, Cobh, Co. Cork",1400, Co. Cork,3 
"103. Oakview, Dromahane, Co. Cork",1100, Co. Cork,3
"104. Gortroe, Glengarriff, Co. Cork",1000, Co. Cork,5 
"105. Front Strand, Youghal, Co. Cork",3360, Co. Cork,4 
"106. Ballinacurra, Midleton, Co. Cork",1150, Co. Cork,3
"107. Carrightwolill, Carrigtwohill, Co. Cork",1075, Co. Cork,2
"108. Poulavone, Ballincollig, Co. Cork",1400, Co. Cork,2 
"109. Janeville, Carrigaline, Co. Cork",1500, Co. Cork,3 
"110. Watercourse Rd., Blackpool, Co. Cork",1650, Co. Cork,2 
"111. 13 Woodfield station road, Blarney, Co. Cork",1300, Co. Cork,3 
"112. Heatherfield, Waterfall, Co. Cork",2400, Co. Cork,5 
"113. Cricklewood, Condonstown North, Watergrasshill, Co. Cork",1350, Co. Cork,4 
"114. Monalahy, Blarney, Co. Cork",1650, Co. Cork,4 
